RX Date/Time,A0(field 1),A1(field 2),A2(field 3),A3(field 4)
2023/07/10/ 11:25:04::125,78192,191,0.30,0.29,0.32,0.35,1.08,1.22
2023/07/10/ 11:25:04::539,78603,192,0.30,0.29,0.31,0.36,0.94,1.81
2023/07/10/ 11:25:04::952,79012,193,0.31,0.29,0.31,0.35,0.97,1.33
2023/07/10/ 11:25:05::364,79422,194,0.30,0.29,0.32,0.35,1.07,1.25
2023/07/10/ 11:25:05::779,79833,195,0.31,0.29,0.31,0.36,0.90,1.81
2023/07/10/ 11:25:06::189,80242,196,0.31,0.29,0.32,0.35,1.01,1.25
2023/07/10/ 11:25:06::603,80652,197,0.30,0.30,0.31,0.35,1.07,1.43
2023/07/10/ 11:25:07::012,81062,198,0.31,0.29,0.32,0.36,0.87,1.68
2023/07/10/ 11:25:07::429,81472,199,0.31,0.29,0.31,0.35,1.08,1.21
2023/07/10/ 11:25:07::843,81883,200,0.30,0.29,0.31,0.36,0.99,1.70
2023/07/10/ 11:25:08::256,82292,201,0.31,0.29,0.31,0.36,0.92,1.47
2023/07/10/ 11:25:08::668,82702,202,0.30,0.29,0.32,0.35,1.09,1.22
2023/07/10/ 11:25:09::085,83112,203,0.30,0.29,0.31,0.36,0.94,1.81
2023/07/10/ 11:25:09::494,83522,204,0.31,0.29,0.32,0.35,0.97,1.33
2023/07/10/ 11:25:09::908,83932,205,0.30,0.29,0.32,0.35,1.07,1.24
2023/07/10/ 11:25:10::320,84342,206,0.31,0.30,0.31,0.36,0.90,1.82
2023/07/10/ 11:25:10::733,84752,207,0.30,0.29,0.32,0.35,1.01,1.25
2023/07/10/ 11:25:11::145,85161,208,0.31,0.29,0.31,0.35,1.07,1.43
2023/07/10/ 11:25:11::560,85572,209,0.31,0.29,0.32,0.35,0.87,1.68
2023/07/10/ 11:25:11::971,85982,210,0.31,0.29,0.32,0.35,1.08,1.20
2023/07/10/ 11:25:12::387,86391,211,0.30,0.30,0.31,0.36,0.99,1.71
2023/07/10/ 11:25:12::799,86802,212,0.31,0.29,0.32,0.36,0.92,1.47
2023/07/10/ 11:25:13::209,87212,213,0.31,0.29,0.32,0.35,1.08,1.22
2023/07/10/ 11:25:13::625,87621,214,0.30,0.29,0.31,0.36,0.94,1.81
2023/07/10/ 11:25:14::039,88032,215,0.31,0.29,0.32,0.36,0.97,1.33
2023/07/10/ 11:25:14::451,88441,216,0.30,0.29,0.32,0.35,1.07,1.25
2023/07/10/ 11:25:14::864,88851,217,0.31,0.30,0.31,0.36,0.90,1.82
2023/07/10/ 11:25:15::276,89262,218,0.31,0.29,0.32,0.35,1.01,1.26
2023/07/10/ 11:25:15::689,89671,219,0.30,0.30,0.31,0.36,1.07,1.41
2023/07/10/ 11:25:16::102,90082,220,0.30,0.29,0.32,0.36,0.87,1.71
2023/07/10/ 11:25:16::515,90491,221,0.31,0.29,0.32,0.35,1.07,1.21
2023/07/10/ 11:25:16::929,90901,222,0.31,0.30,0.31,0.35,1.00,1.67
2023/07/10/ 11:25:17::341,91312,223,0.31,0.29,0.32,0.36,0.91,1.49
2023/07/10/ 11:25:17::754,91721,224,0.31,0.29,0.32,0.35,1.09,1.22
2023/07/10/ 11:25:18::168,92131,225,0.30,0.29,0.31,0.36,0.94,1.81
2023/07/10/ 11:25:18::578,92541,226,0.31,0.29,0.32,0.36,0.97,1.34
2023/07/10/ 11:25:18::993,92951,227,0.30,0.30,0.32,0.35,1.07,1.23
2023/07/10/ 11:25:19::407,93361,228,0.31,0.29,0.31,0.36,0.91,1.83
2023/07/10/ 11:25:19::820,93771,229,0.31,0.29,0.32,0.35,1.00,1.28
2023/07/10/ 11:25:20::233,94181,230,0.30,0.29,0.31,0.35,1.08,1.37
2023/07/10/ 11:25:20::646,94590,231,0.31,0.30,0.31,0.36,0.87,1.73
2023/07/10/ 11:25:21::058,95001,232,0.31,0.29,0.32,0.36,1.06,1.21
2023/07/10/ 11:25:21::473,95411,233,0.30,0.30,0.32,0.36,1.02,1.61
2023/07/10/ 11:25:21::885,95820,234,0.31,0.29,0.32,0.36,0.90,1.55
2023/07/10/ 11:25:22::297,96231,235,0.31,0.29,0.32,0.35,1.09,1.21
2023/07/10/ 11:25:22::711,96641,236,0.30,0.30,0.32,0.36,0.95,1.79
2023/07/10/ 11:25:23::124,97050,237,0.31,0.29,0.31,0.36,0.96,1.37
2023/07/10/ 11:25:23::540,97461,238,0.30,0.29,0.32,0.35,1.07,1.23
2023/07/10/ 11:25:23::951,97870,239,0.30,0.30,0.32,0.36,0.92,1.83
2023/07/10/ 11:25:24::360,98281,240,0.31,0.29,0.32,0.35,1.00,1.28
2023/07/10/ 11:25:24::777,98691,241,0.31,0.29,0.32,0.35,1.08,1.34
2023/07/10/ 11:25:25::158,99100,242,0.31,0.30,0.32,0.36,0.87,1.75
2023/07/10/ 11:25:25::601,99511,243,0.31,0.29,0.32,0.35,1.06,1.21
2023/07/10/ 11:25:26::015,99920,244,0.30,0.30,0.32,0.36,1.02,1.61
2023/07/10/ 11:25:26::429,100330,245,0.31,0.29,0.32,0.36,0.90,1.54
2023/07/10/ 11:25:26::843,100741,246,0.31,0.29,0.32,0.35,1.09,1.21
2023/07/10/ 11:25:27::251,101150,247,0.31,0.30,0.31,0.36,0.95,1.80
2023/07/10/ 11:25:27::667,101560,248,0.31,0.29,0.32,0.36,0.96,1.36
2023/07/10/ 11:25:28::080,101970,249,0.30,0.29,0.32,0.35,1.07,1.23
2023/07/10/ 11:25:28::492,102380,250,0.31,0.30,0.32,0.36,0.92,1.83
2023/07/10/ 11:25:28::905,102791,251,0.31,0.29,0.32,0.35,1.00,1.28
2023/07/10/ 11:25:29::319,103200,252,0.30,0.30,0.32,0.36,1.08,1.34
2023/07/10/ 11:25:29::732,103610,253,0.31,0.30,0.32,0.36,0.87,1.75
2023/07/10/ 11:25:30::146,104020,254,0.31,0.29,0.32,0.35,1.05,1.21
2023/07/10/ 11:25:30::560,104430,255,0.30,0.30,0.32,0.35,1.02,1.61
2023/07/10/ 11:25:30::972,104841,256,0.31,0.30,0.32,0.36,0.90,1.55
2023/07/10/ 11:25:31::383,105250,257,0.31,0.29,0.32,0.35,1.09,1.21
2023/07/10/ 11:25:31::798,105660,258,0.31,0.30,0.31,0.36,0.95,1.80
2023/07/10/ 11:25:32::215,106071,259,0.31,0.29,0.32,0.35,0.97,1.36
2023/07/10/ 11:25:32::623,106480,260,0.31,0.29,0.32,0.35,1.07,1.23
2023/07/10/ 11:25:33::036,106891,261,0.31,0.30,0.31,0.36,0.92,1.83
2023/07/10/ 11:25:33::451,107300,262,0.31,0.29,0.32,0.35,1.00,1.28
2023/07/10/ 11:25:33::863,107710,263,0.30,0.30,0.32,0.35,1.08,1.36
2023/07/10/ 11:25:34::277,108121,264,0.31,0.30,0.32,0.35,0.87,1.74
2023/07/10/ 11:25:34::688,108530,265,0.31,0.29,0.32,0.35,1.06,1.21
2023/07/10/ 11:25:35::103,108941,266,0.30,0.30,0.32,0.36,1.02,1.62
2023/07/10/ 11:25:35::513,109350,267,0.31,0.29,0.32,0.36,0.90,1.53
2023/07/10/ 11:25:35::930,109760,268,0.31,0.29,0.32,0.35,1.09,1.22
2023/07/10/ 11:25:36::341,110171,269,0.30,0.30,0.32,0.36,0.95,1.80
2023/07/10/ 11:25:36::754,110580,270,0.31,0.29,0.32,0.35,0.97,1.35
2023/07/10/ 11:25:37::168,110990,271,0.31,0.29,0.32,0.35,1.07,1.23
2023/07/10/ 11:25:37::580,111400,272,0.31,0.30,0.32,0.35,0.92,1.83
2023/07/10/ 11:25:37::993,111810,273,0.31,0.29,0.32,0.35,1.00,1.27
2023/07/10/ 11:25:38::413,112221,274,0.31,0.29,0.32,0.36,1.08,1.37
2023/07/10/ 11:25:38::819,112630,275,0.31,0.30,0.32,0.36,0.87,1.73
2023/07/10/ 11:25:39::232,113040,276,0.31,0.29,0.32,0.35,1.07,1.21
2023/07/10/ 11:25:39::646,113451,277,0.31,0.30,0.32,0.36,1.01,1.67
2023/07/10/ 11:25:40::059,113860,278,0.31,0.29,0.32,0.36,0.91,1.50
2023/07/10/ 11:25:40::474,114271,279,0.31,0.30,0.32,0.35,1.09,1.22
2023/07/10/ 11:25:40::885,114680,280,0.31,0.30,0.32,0.36,0.95,1.81
2023/07/10/ 11:25:41::298,115090,281,0.31,0.30,0.32,0.36,0.97,1.33
2023/07/10/ 11:25:41::712,115501,282,0.31,0.30,0.32,0.35,1.07,1.25
2023/07/10/ 11:25:42::124,115910,283,0.31,0.30,0.32,0.36,0.90,1.82
2023/07/10/ 11:25:42::537,116321,284,0.31,0.29,0.32,0.36,1.01,1.25
2023/07/10/ 11:25:42::951,116730,285,0.31,0.30,0.32,0.36,1.07,1.44
2023/07/10/ 11:25:43::355,117140,286,0.31,0.30,0.32,0.36,0.87,1.68
2023/07/10/ 11:25:43::778,117551,287,0.31,0.29,0.32,0.35,1.08,1.21
2023/07/10/ 11:25:44::190,117960,288,0.31,0.30,0.32,0.36,0.99,1.74
2023/07/10/ 11:25:44::602,118371,289,0.31,0.30,0.32,0.36,0.93,1.44
2023/07/10/ 11:25:45::015,118780,290,0.31,0.30,0.32,0.35,1.08,1.23
2023/07/10/ 11:25:45::428,119190,291,0.31,0.30,0.32,0.36,0.93,1.82
2023/07/10/ 11:25:45::844,119601,292,0.31,0.30,0.32,0.35,0.98,1.32
2023/07/10/ 11:25:46::254,120010,293,0.31,0.30,0.32,0.36,1.07,1.28
2023/07/10/ 11:25:46::667,120421,294,0.31,0.30,0.32,0.36,0.89,1.80
2023/07/10/ 11:25:47::073,120830,295,0.31,0.29,0.32,0.35,1.03,1.22
2023/07/10/ 11:25:47::493,121240,296,0.31,0.30,0.32,0.36,1.05,1.53
2023/07/10/ 11:25:47::907,121651,297,0.31,0.30,0.32,0.36,0.89,1.59
2023/07/10/ 11:25:48::321,122060,298,0.31,0.30,0.32,0.36,1.09,1.21
2023/07/10/ 11:25:48::734,122471,299,0.31,0.30,0.32,0.36,0.96,1.77
2023/07/10/ 11:25:49::148,122881,300,0.31,0.30,0.32,0.36,0.95,1.39
