RX Date/Time,Voltage(field 1)
2023/07/18/ 10:23:40::566,53218,2.80
2023/07/18/ 10:23:40::621,53243,2.45
2023/07/18/ 10:23:40::622,53269,2.48
2023/07/18/ 10:23:40::647,53295,2.62
2023/07/18/ 10:23:40::671,53320,2.57
2023/07/18/ 10:23:40::694,53346,2.91
2023/07/18/ 10:23:40::737,53371,2.60
2023/07/18/ 10:23:40::752,53397,2.81
2023/07/18/ 10:23:40::772,53423,2.73
2023/07/18/ 10:23:40::796,53448,2.54
2023/07/18/ 10:23:40::840,53474,2.34
2023/07/18/ 10:23:40::852,53499,2.75
2023/07/18/ 10:23:40::877,53526,2.75
2023/07/18/ 10:23:40::899,53552,2.77
2023/07/18/ 10:23:40::940,53577,2.45
2023/07/18/ 10:23:40::954,53603,2.37
2023/07/18/ 10:23:40::979,53628,2.61
2023/07/18/ 10:23:41::003,53654,2.36
2023/07/18/ 10:23:41::033,53680,2.48
2023/07/18/ 10:23:41::061,53705,3.01
2023/07/18/ 10:23:41::081,53731,2.54
2023/07/18/ 10:23:41::106,53756,2.28
2023/07/18/ 10:23:41::134,53782,2.68
2023/07/18/ 10:23:41::175,53808,2.78
2023/07/18/ 10:23:41::182,53834,2.79
2023/07/18/ 10:23:41::205,53860,2.65
2023/07/18/ 10:23:41::235,53885,2.58
2023/07/18/ 10:23:41::277,53911,2.64
2023/07/18/ 10:23:41::286,53937,2.46
2023/07/18/ 10:23:41::310,53962,2.59
2023/07/18/ 10:23:41::338,53988,2.28
2023/07/18/ 10:23:41::389,54013,2.59
2023/07/18/ 10:23:41::389,54039,2.68
2023/07/18/ 10:23:41::416,54065,2.69
2023/07/18/ 10:23:41::442,54090,2.48
2023/07/18/ 10:23:41::465,54116,2.51
2023/07/18/ 10:23:41::492,54141,2.91
2023/07/18/ 10:23:41::517,54168,2.61
2023/07/18/ 10:23:41::544,54194,2.79
2023/07/18/ 10:23:41::568,54219,2.52
2023/07/18/ 10:23:41::607,54245,2.44
2023/07/18/ 10:23:41::619,54270,2.40
2023/07/18/ 10:23:41::646,54296,2.72
2023/07/18/ 10:23:41::669,54322,2.66
2023/07/18/ 10:23:41::705,54347,2.61
2023/07/18/ 10:23:41::727,54373,2.64
2023/07/18/ 10:23:41::749,54398,2.42
2023/07/18/ 10:23:41::772,54424,2.57
2023/07/18/ 10:23:41::795,54450,2.27
2023/07/18/ 10:23:41::827,54476,2.57
2023/07/18/ 10:23:41::851,54502,2.70
2023/07/18/ 10:23:41::875,54528,2.60
2023/07/18/ 10:23:41::903,54553,2.47
2023/07/18/ 10:23:41::937,54579,2.42
2023/07/18/ 10:23:41::954,54604,2.69
2023/07/18/ 10:23:41::976,54630,2.82
2023/07/18/ 10:23:42::007,54656,2.69
2023/07/18/ 10:23:42::035,54681,2.66
2023/07/18/ 10:23:42::056,54707,2.52
2023/07/18/ 10:23:42::078,54732,2.51
2023/07/18/ 10:23:42::107,54758,2.91
2023/07/18/ 10:23:42::142,54785,2.53
